step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,4.081284205292724e-09,4.2231330938656495e-09,4.299823319963163e-09,3.972844020608153e-09,3.969785379537155e-09,3.982738340809394e-09
31,3.991253802813637e-09,4.122138118854909e-09,4.198167231973915e-09,3.8835687188793445e-09,3.858829950250361e-09,3.904990390550305e-09
32,3.901898540019107e-09,4.012675153066664e-09,4.131280485940906e-09,3.795000934351245e-09,3.752323594435282e-09,3.811761931143333e-09
33,3.813229585218158e-09,3.913854598903482e-09,4.047197682401558e-09,3.7071592608766827e-09,3.6645826334133224e-09,3.710955279055821e-09
34,3.7252125419830774e-09,3.8217528501610554e-09,3.959699976533516e-09,3.620045989563306e-09,3.5618753082094994e-09,3.625653000621617e-09
35,3.6377853931338276e-09,3.7188140178046854e-09,3.863274908248777e-09,3.533652060600672e-09,3.493323145232726e-09,3.52937859061298e-09
36,3.5508753570813756e-09,3.6415746313747423e-09,3.775866422127595e-09,3.4479350212350863e-09,3.385484274875218e-09,3.439436081799908e-09
37,3.4643935687093578e-09,3.569885186278364e-09,3.677360374555243e-09,3.3628248821976303e-09,3.2976393605562718e-09,3.3359563782986348e-09
38,3.3782224331544237e-09,3.501251877057464e-09,3.596249887490541e-09,3.278275050034672e-09,3.2067769536410317e-09,3.2363356075068054e-09
39,3.292174393634213e-09,3.4155329798219996e-09,3.515092445922068e-09,3.1941942986932617e-09,3.1162197434377303e-09,3.174898785987738e-09
40,3.2059665196101564e-09,3.324718698402697e-09,3.411771129027675e-09,3.110292792712727e-09,3.044661761157094e-09,3.069186609480611e-09
41,3.1191952334707136e-09,3.239352955242618e-09,3.2866187595741122e-09,3.0260878604737208e-09,2.963188172455459e-09,2.984861407670785e-09
42,3.0313075788486088e-09,3.1532841778982955e-09,3.1955868451398833e-09,2.941016590510697e-09,2.8629121182641076e-09,2.9010616587958354e-09
43,2.9416864990887486e-09,3.0592834483259213e-09,3.068988967938299e-09,2.85434597282795e-09,2.769119010646625e-09,2.7985222711421296e-09
44,2.8495820003377244e-09,2.9370114899673758e-09,2.952019772190166e-09,2.7649615321768647e-09,2.6848000059888204e-09,2.6868411856146655e-09
45,2.753658416756627e-09,2.811042647980767e-09,2.804326632338829e-09,2.671254687432399e-09,2.569605956710665e-09,2.5533670057334003e-09
46,2.6516830662772765e-09,2.674029596031627e-09,2.6741046749874247e-09,2.5711295754980995e-09,2.454034507306882e-09,2.4161945671583356e-09
47,2.5408252881981456e-09,2.523275504808931e-09,2.4787041920934022e-09,2.4620612668082175e-09,2.3037810505005555e-09,2.2332529632521258e-09
48,2.4182180730825992e-09,2.3744173515208217e-09,2.287328370491096e-09,2.341400942421862e-09,2.134527422139974e-09,2.0485681198450893e-09
49,2.281309974405207e-09,2.1680267239694076e-09,2.0246091991600207e-09,2.206650644794918e-09,1.945710913171911e-09,1.828687778187561e-09
50,2.127784018869385e-09,1.926833585994571e-09,1.728522457321426e-09,2.0555298948629207e-09,1.7444204864471285e-09,1.4804169505073157e-09
51,1.955585861182076e-09,1.6419944917480913e-09,1.4108270752893599e-09,1.8863931857658635e-09,1.4770105791694957e-09,1.2075342345079022e-09
52,1.7645759654718462e-09,1.3117279006681294e-09,1.0079152753313176e-09,1.6998313602375778e-09,1.1873303110353247e-09,8.324935784804284e-10
53,1.5596519083296538e-09,1.0197610967546701e-09,7.176782355192595e-10,1.501616799591398e-09,9.173644692553521e-10,6.003913596392561e-10
54,1.3544530782170803e-09,8.167570573178739e-10,5.883334560852188e-10,1.3062536333649802e-09,7.88449473730874e-10,5.814712428009113e-10
55,1.1743235830942622e-09,7.726016850401403e-10,6.523421601259955e-10,1.1388270530001226e-09,7.788888446832765e-10,6.928314065924938e-10
56,1.0541442427745146e-09,8.402763517232765e-10,8.02810108821155e-10,1.0305193188922486e-09,8.538381124819394e-10,8.204854985076623e-10
57,1.0184346983302702e-09,9.627629635770204e-10,9.966959552747275e-10,9.998977931625773e-10,9.54776197210747e-10,1.0144068446592933e-09
58,1.0543985792480356e-09,1.0930417964320988e-09,1.1501516094337162e-09,1.0310847075150725e-09,1.028720934916908e-09,1.1060478214039928e-09
59,1.119141821847715e-09,1.1356336617138873e-09,1.1812075753359362e-09,1.0845642166368338e-09,1.062285597825481e-09,1.0858943496248984e-09
60,1.1734276851483446e-09,1.073224741781027e-09,1.0235023005640112e-09,1.1277601232048647e-09,9.757863894864994e-10,8.630411820343892e-10
61,1.2002559624386913e-09,9.502613853805375e-10,8.056089241166212e-10,1.1488612686082791e-09,8.578076373882951e-10,6.836783956569302e-10
62,1.2017850727850286e-09,8.651993923449516e-10,6.733117230432969e-10,1.1526575495535864e-09,8.221422722242186e-10,6.204711719817921e-10
63,1.1902188177516437e-09,8.93138382442774e-10,7.814569140736077e-10,1.1488585459440481e-09,9.040564435267043e-10,7.84402699015674e-10
64,1.1777271513595153e-09,9.743887158400633e-10,8.695856245385524e-10,1.1448797235404191e-09,9.629725712866866e-10,8.856753939518164e-10
65,1.1703131415702407e-09,1.020848145298871e-09,9.820633588314497e-10,1.1448425565648088e-09,9.865477621878131e-10,9.310939566424463e-10
66,1.168204202287526e-09,1.0054655261301004e-09,9.913097822791332e-10,1.1505304750161097e-09,9.84903906736394e-10,9.353484203831102e-10
67,1.1717089695850927e-09,9.92033439272511e-10,9.46031406403033e-10,1.1633048987750524e-09,9.182035113404049e-10,8.625410060776792e-10
68,1.1830473356705457e-09,9.479180806983318e-10,8.559505187442153e-10,1.185297394303537e-09,9.223503343159088e-10,7.827053762313199e-10
69,1.2041087103688278e-09,9.46600229774559e-10,8.174210520068534e-10,1.216532839615624e-09,9.317139189139091e-10,8.054235024207933e-10
