step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,4.080049761464003e-09,4.221163223804708e-09,4.2078812047495384e-09,3.979471954428902e-09,4.080456148463515e-09,4.099229827969809e-09
31,3.988301392098083e-09,4.106360623310475e-09,4.124838002163458e-09,3.892321172616472e-09,3.970069871513711e-09,4.0899937659091575e-09
32,3.897224833506594e-09,4.000035265453073e-09,4.049439901365146e-09,3.805855270302448e-09,3.880403412066821e-09,3.9185182406831145e-09
33,3.806831819907874e-09,3.913160580588148e-09,3.9495448152863625e-09,3.720078702492335e-09,3.793034902437803e-09,3.813925070255491e-09
34,3.717095676959884e-09,3.817959992963833e-09,3.844512690964969e-09,3.6349856163705503e-09,3.6932307314108986e-09,3.758971482067882e-09
35,3.6279807504830097e-09,3.719653072143097e-09,3.749271764902084e-09,3.5505668257050944e-09,3.5907022165768433e-09,3.6626564044132124e-09
36,3.5394539457880586e-09,3.6198077888353074e-09,3.660574603061475e-09,3.4668128917543845e-09,3.503029060715007e-09,3.5308996362993498e-09
37,3.4514507758465428e-09,3.5381898604638357e-09,3.5760091988261493e-09,3.3836868114058733e-09,3.409659174611916e-09,3.4253686918388253e-09
38,3.3638632545345683e-09,3.44750756326682e-09,3.5013825966011614e-09,3.301110033578995e-09,3.3170300662158507e-09,3.333279286826554e-09
39,3.2765211404193333e-09,3.368149705815058e-09,3.3851923476164963e-09,3.2189995845380158e-09,3.2421508916272082e-09,3.2487677480513534e-09
40,3.1891376027120395e-09,3.259374087734752e-09,3.3018615370938687e-09,3.137228962140213e-09,3.1522884301708756e-09,3.1627252738195844e-09
41,3.101355729211994e-09,3.163990744471805e-09,3.2135350769254996e-09,3.055480734318995e-09,3.0523368521276116e-09,3.0468742699895755e-09
42,3.0127835446916093e-09,3.061899371831233e-09,3.1265500494801014e-09,2.97312540620469e-09,2.9687012441315898e-09,2.972091578545257e-09
43,2.922691227345366e-09,2.9620976954502035e-09,3.0210729986463656e-09,2.8891636161785835e-09,2.8551353991038204e-09,2.8784738850938123e-09
44,2.829692089453956e-09,2.865101611634255e-09,2.8884499183065995e-09,2.8022465240914637e-09,2.753615600891254e-09,2.7554720210951773e-09
45,2.731928678193137e-09,2.7496555255171724e-09,2.8058587607111606e-09,2.7108308102545966e-09,2.6254471904468355e-09,2.6325776188064807e-09
46,2.627445489524238e-09,2.604554085277789e-09,2.6322010818212974e-09,2.6130886246992716e-09,2.5006835105140376e-09,2.4901623407081564e-09
47,2.5140879300305503e-09,2.4440136102553675e-09,2.463349741839028e-09,2.506437577271097e-09,2.3591823730481437e-09,2.3473596277511497e-09
48,2.3892427303425337e-09,2.263821709656077e-09,2.2598364088305195e-09,2.387652042387103e-09,2.2100418000008765e-09,2.1629126907518407e-09
49,2.2498819942859417e-09,2.0705153662893652e-09,2.0167398743851076e-09,2.2536353114369787e-09,2.0208267274769755e-09,1.916796104885078e-09
50,2.092999209078347e-09,1.8527245640062827e-09,1.704562002517873e-09,2.1019474854766505e-09,1.7766287935728812e-09,1.673383756889164e-09
51,1.91678066617154e-09,1.589217208857042e-09,1.3889419343473628e-09,1.9312678000313173e-09,1.5252676831463844e-09,1.3155848558568184e-09
52,1.7225238537011906e-09,1.2825131122076412e-09,1.0049137601527397e-09,1.742822067977053e-09,1.2496481469632448e-09,9.552452575516167e-10
53,1.5172979937441496e-09,9.88745582057022e-10,7.30046071672962e-10,1.5427320331514405e-09,9.77922791746756e-10,6.750943957160356e-10
54,1.3171027199429525e-09,8.367563987923928e-10,6.646983328648684e-10,1.3451344608554399e-09,7.978743133090064e-10,5.94526368802046e-10
55,1.1487204685844576e-09,8.026919741416086e-10,7.168133389960525e-10,1.175730598855768e-09,7.546775043248922e-10,6.498778580837339e-10
56,1.0438494695083828e-09,8.475884639271932e-10,8.124730587659539e-10,1.068961018947343e-09,8.230407496775447e-10,7.961661207458237e-10
57,1.0178200991174309e-09,9.69019269577965e-10,1.014445285281119e-09,1.044986726355524e-09,9.651362170610556e-10,1.0181621054900883e-09
58,1.0494976265893967e-09,1.0302459631757174e-09,1.0830596760659433e-09,1.084841131765467e-09,1.0654099964920302e-09,1.1266138638702988e-09
59,1.1003135103478899e-09,1.0470552516787449e-09,1.030667888993602e-09,1.14517378723559e-09,1.098069862198774e-09,1.1192845169074568e-09
60,1.1427618851815776e-09,9.839871463980155e-10,9.105565053057916e-10,1.1902253050660502e-09,1.0526728097042403e-09,9.615708806135486e-10
61,1.1674798094344295e-09,8.950039548201136e-10,7.557394720279652e-10,1.205579656230946e-09,9.438149567445207e-10,7.729457248544842e-10
62,1.1781516496157798e-09,8.770151312691849e-10,6.936875839267508e-10,1.1943445928440875e-09,9.124992886422841e-10,7.680757624421972e-10
63,1.1823755618603342e-09,9.05714995015888e-10,7.801753676622802e-10,1.168826560915746e-09,9.328133262309856e-10,7.948103807327423e-10
64,1.1848528197814155e-09,9.885448292255306e-10,8.794806180862798e-10,1.1434604887182638e-09,9.591881352871046e-10,8.845609131352859e-10
65,1.1858583448401464e-09,1.022223563777048e-09,9.69768519107507e-10,1.1291459549613639e-09,9.776410769883359e-10,9.356393920512374e-10
66,1.1836519474501861e-09,1.0119410929540953e-09,9.983571498446356e-10,1.1298159540822386e-09,9.678401600852653e-10,9.29278647323823e-10
67,1.1785081931843e-09,9.881293099812015e-10,9.634375421447711e-10,1.1451051429237756e-09,9.325589516051328e-10,8.494285310106684e-10
68,1.1760841548299277e-09,9.780672604464671e-10,8.745754300152659e-10,1.1730727090105142e-09,9.508669779364793e-10,8.237126717081026e-10
69,1.1849902477854581e-09,9.727264763016247e-10,8.408437497781037e-10,1.2104778562326511e-09,9.72518564674298e-10,8.657683294214278e-10
70,1.2106070432054463e-09,1.0265538743283907e-09,9.029275504562624e-10,1.2542194918834229e-09,1.0409837994011368e-09,9.165629366410594e-10
71,1.254780299939686e-09,1.0845994567597545e-09,9.881175111302656e-10,1.3035416516859845e-09,1.112595918296627e-09,9.908803366225135e-10
72,1.3154528049298894e-09,1.1604720364687358e-09,1.0720098045521598e-09,1.358621069833952e-09,1.1856170941681384e-09,1.0770110152056134e-09
73,1.3873924621951476e-09,1.2118257750693858e-09,1.1418210708541154e-09,1.418444944454823e-09,1.2517556603798034e-09,1.133859014837076e-09
74,1.4660840984915256e-09,1.2546638410180908e-09,1.2009559351256917e-09,1.4823989782308195e-09,1.302004063020174e-09,1.2054245976606772e-09
75,1.5484441277062342e-09,1.3266888329114355e-09,1.2797762900964727e-09,1.550829482456297e-09,1.3638919469565456e-09,1.2588581064952455e-09
76,1.6325827998794068e-09,1.4013450703167571e-09,1.3077552600152993e-09,1.6246670023559121e-09,1.401854599613024e-09,1.2938140493514262e-09
77,1.7184377697374296e-09,1.4591564101734644e-09,1.3747273746183261e-09,1.7052721654685669e-09,1.4891412332551534e-09,1.3837894704376641e-09
78,1.8072797569344816e-09,1.5277578580826587e-09,1.4417132021545838e-09,1.7936695268087145e-09,1.5465983386164321e-09,1.4329526019179048e-09
79,1.9010103411480383e-09,1.613402051886184e-09,1.5632825041635757e-09,1.8904312227232276e-09,1.6178320351265198e-09,1.487481840256382e-09
80,2.0007383238329968e-09,1.7309563043787557e-09,1.637141958094521e-09,1.9955098399331266e-09,1.7070044495554735e-09,1.5552445262807877e-09
81,2.106493176093375e-09,1.8213812661352472e-09,1.7026116156112797e-09,2.1083013346088607e-09,1.8029471625811307e-09,1.6485879690419286e-09
82,2.218210890165783e-09,1.9281574541577155e-09,1.7918187119286032e-09,2.2280575192493423e-09,1.875545344176746e-09,1.7127188007570277e-09
83,2.3361139800293997e-09,2.0440392378797407e-09,1.8889028801002687e-09,2.354224941704908e-09,1.9655588154444257e-09,1.7727453296090467e-09
84,2.4603490429464785e-09,2.142380856998693e-09,1.9418016294623e-09,2.4865062280124648e-09,2.091497664287696e-09,1.871087117912503e-09
85,2.5909070355734564e-09,2.2890216851369484e-09,2.058908149634129e-09,2.624743781462723e-09,2.2093715759248118e-09,1.980407179977017e-09
128,1.0085978802420959e-08,9.781760250991358e-09,9.338566255405215e-09,1.0228343192792045e-08,9.245549942604211e-09,8.717032657132061e-09
