step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,2.0117924341378643e-09,2.0231948382137936e-09,2.03107741210509e-09,2.0251840480726227e-09,2.0360688278535626e-09,2.0486020832209374e-09
31,1.967176859121613e-09,1.9795293552741167e-09,1.984268119805357e-09,1.9802021912159992e-09,1.995676657536258e-09,2.0033292185207196e-09
32,1.922890581132765e-09,1.9310727104279207e-09,1.93793991600259e-09,1.9355509467712852e-09,1.9480805369230685e-09,1.964139670182638e-09
33,1.8789293348463494e-09,1.8868174446337046e-09,1.892981981977265e-09,1.8912274232448244e-09,1.9046048639906133e-09,1.917882968401034e-09
34,1.8352896811766431e-09,1.8403173120265072e-09,1.8500455788668345e-09,1.8472137825326913e-09,1.8608145097934405e-09,1.871839965976842e-09
35,1.7919576218421308e-09,1.7961123946230887e-09,1.8046868599014265e-09,1.8034742198258394e-09,1.815199517875715e-09,1.8266288763179638e-09
36,1.748872716779687e-09,1.7569972335908722e-09,1.762399402933236e-09,1.7599465350861952e-09,1.7715413068181273e-09,1.7808118587473667e-09
37,1.7059227732040682e-09,1.7106579296996073e-09,1.717544002313047e-09,1.7165286045264905e-09,1.7289377185823123e-09,1.7356379285750872e-09
38,1.662956761026683e-09,1.6648631006178993e-09,1.6720269448209059e-09,1.6730699942943403e-09,1.6849640252420117e-09,1.6875813410927815e-09
39,1.6197593328649958e-09,1.6226261110927675e-09,1.6259091179901145e-09,1.6293561647353496e-09,1.6384312410995257e-09,1.6407835735543305e-09
40,1.57599905094484e-09,1.5808314321107618e-09,1.5741791332126238e-09,1.5850561859352517e-09,1.5884703098748806e-09,1.592468896299975e-09
41,1.5311987911918993e-09,1.5310321003967434e-09,1.5215094119652915e-09,1.5396705810712835e-09,1.534624149503588e-09,1.5377361042296236e-09
42,1.484703619763188e-09,1.4789635041422652e-09,1.4638911348484053e-09,1.4925227390713695e-09,1.4777208462264484e-09,1.4800270027242095e-09
43,1.4355844804418795e-09,1.415756517398776e-09,1.3994086853693933e-09,1.4427194925637745e-09,1.4176298546456032e-09,1.4132012404952899e-09
44,1.3825649629016208e-09,1.3461797272812673e-09,1.3217722321276887e-09,1.3890587994278977e-09,1.3516486148481114e-09,1.3338718439654912e-09
45,1.3241013709597956e-09,1.261073337319179e-09,1.2194509600430197e-09,1.3300318710512583e-09,1.2680696135984971e-09,1.2349555863100807e-09
46,1.2585073921574216e-09,1.1665977655681709e-09,1.1101338780254037e-09,1.2639029798187697e-09,1.1716092296307798e-09,1.127497290222121e-09
47,1.183966919217826e-09,1.0504830337185269e-09,9.578568747574544e-10,1.1887347106355535e-09,1.061267249706324e-09,9.677126091153818e-10
48,1.0986913422965545e-09,9.122595963050855e-10,7.694726252148786e-10,1.102604653658164e-09,9.196572872729227e-10,7.818132596179325e-10
49,1.0014906346195429e-09,7.54257483434193e-10,5.46735779174888e-10,1.0042838958644197e-09,7.552965938242303e-10,5.373748502391093e-10
50,8.927917238418479e-10,5.74744523050069e-10,3.70198872451355e-10,8.945099560144517e-10,5.770981617177499e-10,3.540121882792554e-10
51,7.765661788984617e-10,4.329139276077062e-10,2.785747645028599e-10,7.780269944778882e-10,4.365302885065705e-10,2.774126818861821e-10
52,6.63420970181675e-10,3.8848667463103696e-10,2.98973791406593e-10,6.663581323623118e-10,3.9451051070959716e-10,3.086840979169225e-10
53,5.726353344186836e-10,4.072008776460757e-10,3.7022199176246894e-10,5.790013890427423e-10,4.14120672644462e-10,3.786492332650678e-10
54,5.252348947298798e-10,4.5637478905778843e-10,4.597772875621074e-10,5.353059562063996e-10,4.676774816067906e-10,4.704044740297365e-10
55,5.242591848490726e-10,5.010957715866173e-10,5.081434234774594e-10,5.354996709473993e-10,5.076062728992365e-10,5.184640330001732e-10
56,5.467044732178838e-10,4.922675087508498e-10,4.838440228895858e-10,5.562809226879071e-10,4.982372369933496e-10,4.782622200606704e-10
57,5.651511631898799e-10,4.3273776865660635e-10,3.576508672094634e-10,5.72296239283715e-10,4.444033930870294e-10,3.6247025864988e-10
58,5.65788472568504e-10,4.0028802097496903e-10,3.077329717485526e-10,5.71722126012617e-10,4.069556338412983e-10,3.314535305406279e-10
59,5.489505822158909e-10,4.073226173364361e-10,3.312904193166605e-10,5.557790517692666e-10,4.1833625645318345e-10,3.441016506589662e-10
60,5.24646312547762e-10,4.173315844821159e-10,3.7033056376184477e-10,5.339860896977674e-10,4.248581965718271e-10,3.7657779716315713e-10
61,5.068205108580885e-10,4.164737126782224e-10,3.823989901541632e-10,5.178630594651298e-10,4.1489184361922127e-10,3.851998076116616e-10
62,5.048546699319734e-10,4.121607960966659e-10,3.7795769050448645e-10,5.13717899772354e-10,4.0967848395578425e-10,3.745012219580069e-10
63,5.157685582595125e-10,4.183742521983705e-10,3.711187053323153e-10,5.20106920029118e-10,4.2125281033678537e-10,3.816785707665179e-10
64,5.284940481986379e-10,4.2188462150976757e-10,3.685179197731728e-10,5.301532223183589e-10,4.3753168195188964e-10,3.813182893021064e-10
65,5.353501234654618e-10,4.2582710121707165e-10,3.6233201472179213e-10,5.389889996610472e-10,4.440372667695784e-10,3.8119334358573515e-10
66,5.36943891373899e-10,4.2311021583235166e-10,3.707842524868817e-10,5.466334922141816e-10,4.468767066474514e-10,3.9226981705774395e-10
67,5.385525106896248e-10,4.2578755787183595e-10,3.887598111327929e-10,5.551766538857313e-10,4.55829383588429e-10,4.0472211351903686e-10
68,5.448475662981057e-10,4.3702509664147247e-10,4.0480320479340135e-10,5.644060991749979e-10,4.5826905852021717e-10,4.1104386132287794e-10
69,5.575856598689882e-10,4.5049471871521227e-10,4.1266662131495524e-10,5.732211842628076e-10,4.631846894200814e-10,4.068769871050445e-10
70,5.768380240009551e-10,4.716321047592929e-10,4.174013065789443e-10,5.821328650139671e-10,4.703182795225935e-10,4.109127464956387e-10
71,6.012214269300133e-10,4.981475996394425e-10,4.3420240042334085e-10,5.93620889036863e-10,4.786321967892902e-10,4.1494292316670143e-10
72,6.291000667367169e-10,5.233340277287158e-10,4.58389287519194e-10,6.119587722097045e-10,4.927799540156378e-10,4.315997002707389e-10
73,6.594727745190709e-10,5.56321041393219e-10,4.821004830093623e-10,6.409777076316908e-10,5.299475488451941e-10,4.701687213965156e-10
74,6.923367182724656e-10,5.911908657034959e-10,5.215765018359487e-10,6.815240514626584e-10,5.780844127904819e-10,5.234846912180376e-10
75,7.282275614736123e-10,6.225853584601728e-10,5.633172595938058e-10,7.314013172457126e-10,6.39994338821366e-10,5.864237637959259e-10
76,7.67642437543872e-10,6.538769183427771e-10,5.970081692911793e-10,7.875775321232038e-10,7.043768860455966e-10,6.53397921576204e-10
77,8.110801585824179e-10,6.855059811647609e-10,6.321136744761718e-10,8.478913871877167e-10,7.713179998836337e-10,7.226530571812758e-10
78,8.590829458694911e-10,7.279078759188687e-10,6.71231237466883e-10,9.10730049262042e-10,8.293280779491781e-10,7.763655610980158e-10
79,9.120862534604421e-10,7.743704920207099e-10,7.096955474455715e-10,9.751137566753818e-10,8.800929554488877e-10,8.254422700181462e-10
80,9.705077806903497e-10,8.318476147932343e-10,7.617144936844529e-10,1.0408265523368729e-09,9.302963161782331e-10,8.706577207325521e-10
81,1.034826531543903e-09,8.892573218866175e-10,8.184408527252442e-10,1.1079918503784196e-09,9.837621672665307e-10,9.230821292748028e-10
82,1.1053284722092788e-09,9.547234807355873e-10,8.875184126221791e-10,1.1770841820286001e-09,1.0324956650422422e-09,9.624043241918417e-10
83,1.1819551655126113e-09,1.0295208819849119e-09,9.602050238807787e-10,1.2484441380672866e-09,1.0819728966041802e-09,1.012562852781813e-09
84,1.2644133387503563e-09,1.114733993790584e-09,1.0387488596807575e-09,1.322350573556961e-09,1.1338725238102201e-09,1.0444933590406796e-09
85,1.3523530435284703e-09,1.2001491157377902e-09,1.1262212146859168e-09,1.3991461522252719e-09,1.1851462934437297e-09,1.0938391068998495e-09
128,5.6368616878998656e-09,5.658812700009218e-09,5.703963628111521e-09,5.462276010705182e-09,5.02338965626777e-09,4.750374642514276e-09
