e_y_nm,sigmay_nm,nx,ny,nz,nm,seed,L,solver
8,1.9810,512,1024,256,500000,1,2.336117,3d
8,1.9810,512,2048,256,1000000,1,2.354655,3d
8,1.9810,512,4096,256,2000000,1,2.361107,3d
8,1.9810,512,512,128,125000,1,2.329830,3d
8,1.9810,512,512,512,500000,1,2.310925,3d
8,1.9810,512,8192,256,4000000,1,2.386455,3d
8,1.9810,512,512,1024,1000000,1,2.325726,3d
8,1.9810,512,128,256,62500,2,2.185006,3d
8,1.9810,512,128,256,62500,3,2.179731,3d
8,1.9810,512,128,256,62500,4,2.147866,3d
8,1.9810,512,128,256,62500,5,2.224264,3d
8,1.9810,512,256,256,125000,2,2.219081,3d
8,1.9810,512,256,256,125000,3,2.258634,3d
8,1.9810,512,256,256,125000,4,2.244635,3d
8,1.9810,512,256,256,125000,5,2.187476,3d
12,2.4263,8192,256,128,100000000,1,1.940588,3d
16,2.8016,8192,256,128,100000000,1,1.618964,3d
20,3.1323,8192,256,128,100000000,1,1.407833,3d
2,0.9905,8192,256,128,100000000,1,5.989448,3d
1,0.7004,8192,512,128,100000000,1,9.186864,3d
0.5,0.4953,8192,512,128,100000000,1,13.553029,3d
8,1.9810,512,256,128,100000,1,2.302327,3d
8,1.9810,512,256,128,100000,2,2.290284,3d
8,1.9810,512,256,128,100000,3,2.307763,3d
8,1.9810,512,256,128,1000000,1,2.344272,3d
8,1.9810,512,256,128,1000000,2,2.340903,3d
8,1.9810,512,256,128,1000000,3,2.338567,3d
8,1.9810,512,256,128,10000000,1,2.349136,3d
8,1.9810,512,256,128,10000000,2,2.346822,3d
8,1.9810,512,256,128,10000000,3,2.347953,3d
8,1.9810,512,256,128,100000000,1,2.347994,3d
8,1.9810,1024,256,128,1000000,1,2.342114,3d
8,1.9810,1024,256,128,10000000,1,2.354866,3d
8,1.9810,1024,256,128,100000000,1,2.353940,3d
8,1.9810,2048,256,128,1000000,1,2.413805,3d
8,1.9810,2048,256,128,10000000,1,2.384756,3d
8,1.9810,2048,256,128,100000000,1,2.358843,3d
8,1.9810,4096,256,128,1000000,1,2.705623,3d
8,1.9810,4096,256,128,10000000,1,2.537947,3d
8,1.9810,4096,256,128,100000000,1,2.402692,3d
8,1.9810,64,256,128,100000,1,2.194585,3d
8,1.9810,64,256,128,1000000,1,2.212809,3d
8,1.9810,64,256,128,10000000,1,2.213313,3d
8,1.9810,64,256,128,100000000,1,2.211838,3d
8,1.9810,128,256,128,100000,1,2.269871,3d
8,1.9810,128,256,128,1000000,1,2.302209,3d
8,1.9810,128,256,128,10000000,1,2.301490,3d
8,1.9810,128,256,128,100000000,1,2.299800,3d
8,1.9810,256,256,128,100000,1,2.296272,3d
8,1.9810,256,256,128,1000000,1,2.336398,3d
8,1.9810,256,256,128,10000000,1,2.336005,3d
8,1.9810,256,256,128,100000000,1,2.334482,3d
8,1.9810,1024,256,128,100000,1,2.313720,3d
8,1.9810,2048,256,128,100000,1,2.647224,3d
12,2.4263,512,256,128,100000,1,1.827264,3d
12,2.4263,512,256,128,1000000,1,1.849900,3d
12,2.4263,512,256,128,10000000,1,1.852032,3d
12,2.4263,512,256,128,100000000,1,1.850945,3d
16,2.8016,512,256,128,100000,1,1.550174,3d
16,2.8016,512,256,128,1000000,1,1.562181,3d
16,2.8016,512,256,128,10000000,1,1.563770,3d
16,2.8016,512,256,128,100000000,1,1.562937,3d
20,3.1323,512,256,128,100000,1,1.363723,3d
20,3.1323,512,256,128,1000000,1,1.370234,3d
20,3.1323,512,256,128,10000000,1,1.371423,3d
20,3.1323,512,256,128,100000000,1,1.370802,3d
8,1.9810,512,256,128,1000,1,1.786760,3d
8,1.9810,512,256,128,10000,1,2.097159,3d
12,2.4263,512,256,128,1000,1,1.552501,3d
12,2.4263,512,256,128,10000,1,1.726928,3d
16,2.8016,512,256,128,1000,1,1.376936,3d
16,2.8016,512,256,128,10000,1,1.492712,3d
20,3.1323,512,256,128,1000,1,1.203771,3d
20,3.1323,512,256,128,10000,1,1.317247,3d
4,1.4008,512,256,128,10000,1,2.808140,3d
4,1.4008,512,256,128,100000,1,3.401108,3d
4,1.4008,512,256,128,1000000,1,3.494013,3d
4,1.4008,512,256,128,10000000,1,3.519801,3d
4,1.4008,512,256,128,100000000,1,3.520902,3d
2,0.9905,512,512,128,10000,1,3.638034,3d
2,0.9905,512,512,128,100000,1,5.090671,3d
2,0.9905,512,512,128,1000000,1,5.274000,3d
2,0.9905,512,512,128,10000000,1,5.322611,3d
2,0.9905,512,512,128,100000000,1,5.324744,3d
1,0.7004,512,512,128,100000,1,7.635147,3d
1,0.7004,512,512,128,1000000,1,7.895432,3d
1,0.7004,512,512,128,10000000,1,7.950636,3d
1,0.7004,512,512,128,100000000,1,7.947917,3d
0.5,0.4953,512,512,128,100000,1,11.469126,3d
0.5,0.4953,512,512,128,1000000,1,11.761226,3d
0.5,0.4953,512,512,128,10000000,1,11.782481,3d
0.5,0.4953,512,512,128,100000000,1,11.780423,3d
4,1.4008,512,256,128,30000,1,3.326475,3d
