label,phase,stage,sim,e_y_nm,nx,ny,nz,nm,seed,nodes,walltime,qos,status,slurm_id,L_rate
P1_nm_hi_ey12_s3,P1,A_nm,nm_hi,12,8192,256,128,250000,3,1,00:30:00,overrun,done,56401586,2.370136
P1_nm_hi_ey12_s4,P1,A_nm,nm_hi,12,8192,256,128,250000,4,1,00:30:00,overrun,done,56401587,2.409713
P1_nm_hi_ey12_s5,P1,A_nm,nm_hi,12,8192,256,128,250000,5,1,00:30:00,overrun,done,56401588,2.372549
P2_truth_m_ey2_s1,P2,truth_m,truth_m,2,8192,256,128,10000000,1,1,00:36:00,overrun,done,56647726,6.558521
P2_truth_m_ey16_s1,P2,truth_m,truth_m,16,8192,256,128,1000000,1,1,00:30:00,overrun,done,56647727,1.849782
P2_truth_m_ey20_s1,P2,truth_m,truth_m,20,8192,256,128,1000000,1,1,00:30:00,overrun,done,56647728,1.591802
P2_nm_lo_ey2_s1,P2,A_nm,nm_lo,2,8192,256,128,1000000,1,1,00:30:00,overrun,done,56401666,7.017131
P2_nm_lo_ey2_s2,P2,A_nm,nm_lo,2,8192,256,128,1000000,2,1,00:30:00,overrun,done,56401667,7.106732
P2_nm_lo_ey2_s3,P2,A_nm,nm_lo,2,8192,256,128,1000000,3,1,00:30:00,overrun,done,56401668,7.109127
P2_nm_lo_ey2_s4,P2,A_nm,nm_lo,2,8192,256,128,1000000,4,1,00:30:00,overrun,done,56401669,7.135248
P2_nm_lo_ey2_s5,P2,A_nm,nm_lo,2,8192,256,128,1000000,5,1,00:30:00,overrun,done,56401670,6.996891
P2_nm_mid_ey2_s1,P2,A_nm,nm_mid,2,8192,256,128,2500000,1,1,00:30:00,overrun,done,56401671,7.011431
P2_nm_mid_ey2_s2,P2,A_nm,nm_mid,2,8192,256,128,2500000,2,1,00:30:00,overrun,done,56401672,6.845299
P2_nm_mid_ey2_s3,P2,A_nm,nm_mid,2,8192,256,128,2500000,3,1,00:30:00,overrun,done,56401673,6.856096
P2_nm_mid_ey2_s4,P2,A_nm,nm_mid,2,8192,256,128,2500000,4,1,00:30:00,overrun,done,56401674,6.720290
P2_nm_mid_ey2_s5,P2,A_nm,nm_mid,2,8192,256,128,2500000,5,1,00:30:00,overrun,done,56401675,6.896216
P2_nm_hi_ey2_s1,P2,A_nm,nm_hi,2,8192,256,128,5000000,1,1,00:30:00,overrun,done,56401676,6.683875
P2_nm_hi_ey2_s2,P2,A_nm,nm_hi,2,8192,256,128,5000000,2,1,00:30:00,overrun,done,56401677,6.716897
P2_nm_hi_ey2_s3,P2,A_nm,nm_hi,2,8192,256,128,5000000,3,1,00:30:00,overrun,done,56401678,6.656845
P2_nm_hi_ey2_s4,P2,A_nm,nm_hi,2,8192,256,128,5000000,4,1,00:30:00,overrun,done,56401679,6.634906
P2_nm_hi_ey2_s5,P2,A_nm,nm_hi,2,8192,256,128,5000000,5,1,00:30:00,overrun,done,56401680,6.784985
P2_nm_lo_ey16_s1,P2,A_nm,nm_lo,16,8192,256,128,50000,1,1,00:30:00,overrun,done,56401681,2.126493
P2_nm_lo_ey16_s2,P2,A_nm,nm_lo,16,8192,256,128,50000,2,1,00:30:00,overrun,done,56401682,2.134406
P2_nm_lo_ey16_s3,P2,A_nm,nm_lo,16,8192,256,128,50000,3,1,00:30:00,overrun,done,56401683,2.163904
P2_nm_lo_ey16_s4,P2,A_nm,nm_lo,16,8192,256,128,50000,4,1,00:30:00,overrun,done,56401684,2.042918
P2_nm_lo_ey16_s5,P2,A_nm,nm_lo,16,8192,256,128,50000,5,1,00:30:00,overrun,done,56401685,2.080883
P2_nm_mid_ey16_s1,P2,A_nm,nm_mid,16,8192,256,128,100000,1,1,00:30:00,overrun,done,56401686,2.047854
P2_nm_mid_ey16_s2,P2,A_nm,nm_mid,16,8192,256,128,100000,2,1,00:30:00,overrun,done,56401687,1.990128
P2_nm_mid_ey16_s3,P2,A_nm,nm_mid,16,8192,256,128,100000,3,1,00:30:00,overrun,done,56401689,2.071839
P2_nm_mid_ey16_s4,P2,A_nm,nm_mid,16,8192,256,128,100000,4,1,00:30:00,overrun,done,56401690,1.993466
P2_nm_mid_ey16_s5,P2,A_nm,nm_mid,16,8192,256,128,100000,5,1,00:30:00,overrun,done,56401691,2.040531
P2_nm_hi_ey16_s1,P2,A_nm,nm_hi,16,8192,256,128,250000,1,1,00:30:00,overrun,done,56401692,1.950374
P2_nm_hi_ey16_s2,P2,A_nm,nm_hi,16,8192,256,128,250000,2,1,00:30:00,overrun,done,56401693,1.963592
P2_nm_hi_ey16_s3,P2,A_nm,nm_hi,16,8192,256,128,250000,3,1,00:30:00,overrun,done,56401694,1.960552
P2_nm_hi_ey16_s4,P2,A_nm,nm_hi,16,8192,256,128,250000,4,1,00:30:00,overrun,done,56401695,1.987729
P2_nm_hi_ey16_s5,P2,A_nm,nm_hi,16,8192,256,128,250000,5,1,00:30:00,overrun,done,56401696,1.964035
P2_nm_lo_ey20_s1,P2,A_nm,nm_lo,20,8192,256,128,25000,1,1,00:30:00,overrun,done,56401697,1.877829
P2_nm_lo_ey20_s2,P2,A_nm,nm_lo,20,8192,256,128,25000,2,1,00:30:00,overrun,done,56401698,1.765299
P2_nm_lo_ey20_s3,P2,A_nm,nm_lo,20,8192,256,128,25000,3,1,00:30:00,overrun,done,56401699,1.924580
P2_nm_lo_ey20_s4,P2,A_nm,nm_lo,20,8192,256,128,25000,4,1,00:30:00,overrun,done,56401700,1.900354
P2_nm_lo_ey20_s5,P2,A_nm,nm_lo,20,8192,256,128,25000,5,1,00:30:00,overrun,done,56401701,1.859822
P2_nm_mid_ey20_s1,P2,A_nm,nm_mid,20,8192,256,128,50000,1,1,00:30:00,overrun,done,56401702,1.835650
P2_nm_mid_ey20_s2,P2,A_nm,nm_mid,20,8192,256,128,50000,2,1,00:30:00,overrun,done,56401703,1.842789
P2_nm_mid_ey20_s3,P2,A_nm,nm_mid,20,8192,256,128,50000,3,1,00:30:00,overrun,done,56401704,1.879925
P2_nm_mid_ey20_s4,P2,A_nm,nm_mid,20,8192,256,128,50000,4,1,00:30:00,overrun,done,56401705,1.771008
P2_nm_mid_ey20_s5,P2,A_nm,nm_mid,20,8192,256,128,50000,5,1,00:30:00,overrun,done,56401706,1.806852
P2_nm_hi_ey20_s1,P2,A_nm,nm_hi,20,8192,256,128,100000,1,1,00:30:00,overrun,done,56401707,1.766711
P2_nm_hi_ey20_s2,P2,A_nm,nm_hi,20,8192,256,128,100000,2,1,00:30:00,overrun,done,56401708,1.721557
P2_nm_hi_ey20_s3,P2,A_nm,nm_hi,20,8192,256,128,100000,3,1,00:30:00,overrun,done,56401709,1.782173
P2_nm_hi_ey20_s4,P2,A_nm,nm_hi,20,8192,256,128,100000,4,1,00:30:00,overrun,done,56401710,1.721180
P2_nm_hi_ey20_s5,P2,A_nm,nm_hi,20,8192,256,128,100000,5,1,00:30:00,overrun,done,56401711,1.759946
P3_truth_m_ey0p5_s1,P3,truth_m,truth_m,0.5,8192,512,128,50000000,1,2,00:55:00,overrun,pending,,
P3_truth_m_ey1_s1,P3,truth_m,truth_m,1,8192,512,128,25000000,1,2,00:48:00,overrun,pending,,
P3_nm_lo_ey0p5_s1,P3,A_nm,nm_lo,0.5,8192,512,128,5000000,1,2,00:39:00,overrun,check,56401712,
P3_nm_lo_ey0p5_s2,P3,A_nm,nm_lo,0.5,8192,512,128,5000000,2,2,00:39:00,overrun,check,56401713,
P3_nm_lo_ey0p5_s3,P3,A_nm,nm_lo,0.5,8192,512,128,5000000,3,2,00:39:00,overrun,check,56401714,
P3_nm_lo_ey0p5_s4,P3,A_nm,nm_lo,0.5,8192,512,128,5000000,4,2,00:39:00,overrun,check,56401715,
P3_nm_lo_ey0p5_s5,P3,A_nm,nm_lo,0.5,8192,512,128,5000000,5,2,00:39:00,overrun,check,56401716,
P3_nm_mid_ey0p5_s1,P3,A_nm,nm_mid,0.5,8192,512,128,10000000,1,2,00:30:00,overrun,done,57126341,14.475125
P3_nm_mid_ey0p5_s2,P3,A_nm,nm_mid,0.5,8192,512,128,10000000,2,2,00:42:00,overrun,check,56401718,
P3_nm_mid_ey0p5_s3,P3,A_nm,nm_mid,0.5,8192,512,128,10000000,3,2,00:42:00,overrun,check,56401719,
P3_nm_mid_ey0p5_s4,P3,A_nm,nm_mid,0.5,8192,512,128,10000000,4,2,00:42:00,overrun,check,56401720,
P3_nm_mid_ey0p5_s5,P3,A_nm,nm_mid,0.5,8192,512,128,10000000,5,2,00:42:00,overrun,check,56401721,
P3_nm_hi_ey0p5_s1,P3,A_nm,nm_hi,0.5,8192,512,128,25000000,1,2,00:48:00,overrun,check,56401722,
P3_nm_hi_ey0p5_s2,P3,A_nm,nm_hi,0.5,8192,512,128,25000000,2,2,00:48:00,overrun,check,56401723,
P3_nm_hi_ey0p5_s3,P3,A_nm,nm_hi,0.5,8192,512,128,25000000,3,2,00:48:00,overrun,check,56401724,
P3_nm_hi_ey0p5_s4,P3,A_nm,nm_hi,0.5,8192,512,128,25000000,4,2,00:48:00,overrun,check,56401725,
P3_nm_hi_ey0p5_s5,P3,A_nm,nm_hi,0.5,8192,512,128,25000000,5,2,00:48:00,overrun,check,56401726,
P3_nm_lo_ey1_s1,P3,A_nm,nm_lo,1,8192,512,128,2500000,1,2,00:38:00,overrun,check,56401727,
P3_nm_lo_ey1_s2,P3,A_nm,nm_lo,1,8192,512,128,2500000,2,2,00:38:00,overrun,check,56401728,
P3_nm_lo_ey1_s3,P3,A_nm,nm_lo,1,8192,512,128,2500000,3,2,00:38:00,overrun,check,56401729,
P3_nm_lo_ey1_s4,P3,A_nm,nm_lo,1,8192,512,128,2500000,4,2,00:38:00,overrun,check,56401730,
P3_nm_lo_ey1_s5,P3,A_nm,nm_lo,1,8192,512,128,2500000,5,2,00:38:00,overrun,check,56401731,
P3_nm_mid_ey1_s1,P3,A_nm,nm_mid,1,8192,512,128,5000000,1,2,00:39:00,overrun,check,56401732,
P3_nm_mid_ey1_s2,P3,A_nm,nm_mid,1,8192,512,128,5000000,2,2,00:39:00,overrun,check,56401733,
P3_nm_mid_ey1_s3,P3,A_nm,nm_mid,1,8192,512,128,5000000,3,2,00:39:00,overrun,check,56401734,
P3_nm_mid_ey1_s4,P3,A_nm,nm_mid,1,8192,512,128,5000000,4,2,00:39:00,overrun,check,56401735,
P3_nm_mid_ey1_s5,P3,A_nm,nm_mid,1,8192,512,128,5000000,5,2,00:39:00,overrun,check,56401736,
P3_nm_hi_ey1_s1,P3,A_nm,nm_hi,1,8192,512,128,10000000,1,2,00:30:00,overrun,done,57126342,9.992022
P3_nm_hi_ey1_s2,P3,A_nm,nm_hi,1,8192,512,128,10000000,2,2,00:42:00,overrun,check,56401738,
P3_nm_hi_ey1_s3,P3,A_nm,nm_hi,1,8192,512,128,10000000,3,2,00:42:00,overrun,check,56401739,
P3_nm_hi_ey1_s4,P3,A_nm,nm_hi,1,8192,512,128,10000000,4,2,00:42:00,overrun,check,56401740,
P3_nm_hi_ey1_s5,P3,A_nm,nm_hi,1,8192,512,128,10000000,5,2,00:42:00,overrun,check,56401741,
P4a_truth_y_ey4_s1,P4a,truth_y,truth_y,4,8192,1024,128,2000000,1,4,00:58:00,overrun,pending,,
P4a_truth_y_ey8_s1,P4a,truth_y,truth_y,8,8192,1024,128,1000000,1,4,00:58:00,overrun,pending,,
P4a_truth_y_ey12_s1,P4a,truth_y,truth_y,12,8192,1024,128,400000,1,4,00:58:00,overrun,pending,,
P4a_ny_lo_ey4_s1,P4a,B_ny,ny_lo,4,8192,128,128,250000,1,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey4_s2,P4a,B_ny,ny_lo,4,8192,128,128,250000,2,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey4_s3,P4a,B_ny,ny_lo,4,8192,128,128,250000,3,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey4_s4,P4a,B_ny,ny_lo,4,8192,128,128,250000,4,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey4_s5,P4a,B_ny,ny_lo,4,8192,128,128,250000,5,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey4_s1,P4a,B_ny,ny_mid,4,8192,256,128,500000,1,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey4_s2,P4a,B_ny,ny_mid,4,8192,256,128,500000,2,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey4_s3,P4a,B_ny,ny_mid,4,8192,256,128,500000,3,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey4_s4,P4a,B_ny,ny_mid,4,8192,256,128,500000,4,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey4_s5,P4a,B_ny,ny_mid,4,8192,256,128,500000,5,1,00:30:00,overrun,pending,,
P4a_ny_hi_ey4_s1,P4a,B_ny,ny_hi,4,8192,512,128,1000000,1,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey4_s2,P4a,B_ny,ny_hi,4,8192,512,128,1000000,2,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey4_s3,P4a,B_ny,ny_hi,4,8192,512,128,1000000,3,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey4_s4,P4a,B_ny,ny_hi,4,8192,512,128,1000000,4,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey4_s5,P4a,B_ny,ny_hi,4,8192,512,128,1000000,5,2,00:36:00,overrun,pending,,
P4a_ny_lo_ey8_s1,P4a,B_ny,ny_lo,8,8192,128,128,125000,1,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey8_s2,P4a,B_ny,ny_lo,8,8192,128,128,125000,2,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey8_s3,P4a,B_ny,ny_lo,8,8192,128,128,125000,3,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey8_s4,P4a,B_ny,ny_lo,8,8192,128,128,125000,4,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey8_s5,P4a,B_ny,ny_lo,8,8192,128,128,125000,5,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey8_s1,P4a,B_ny,ny_mid,8,8192,256,128,250000,1,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey8_s2,P4a,B_ny,ny_mid,8,8192,256,128,250000,2,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey8_s3,P4a,B_ny,ny_mid,8,8192,256,128,250000,3,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey8_s4,P4a,B_ny,ny_mid,8,8192,256,128,250000,4,1,00:30:00,overrun,pending,,
