step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,2.0165802559053096e-09,2.044522121061341e-09,2.0557961881867987e-09,2.0196056929395144e-09,2.0137323461636084e-09,2.009521060246673e-09
31,1.9720718973810717e-09,1.9986568960795453e-09,2.008826665077782e-09,1.9748172753901658e-09,1.9661690585487555e-09,1.9658978061186514e-09
32,1.9278866901158623e-09,1.9544002873674403e-09,1.9630389233353982e-09,1.93035768621365e-09,1.925497466554281e-09,1.9224694977499092e-09
33,1.884010859715915e-09,1.910647788937587e-09,1.9188276852971117e-09,1.886228076082613e-09,1.881381610368339e-09,1.876470132117201e-09
34,1.8404236743827647e-09,1.8666681451694166e-09,1.872634104291773e-09,1.842411140925972e-09,1.8385495433555283e-09,1.83267869907856e-09
35,1.7971118353158269e-09,1.8201083841843062e-09,1.8273845099581651e-09,1.7988610947948428e-09,1.799502630802942e-09,1.7864878712330907e-09
36,1.7540532984890504e-09,1.7739155925900092e-09,1.7819516834545979e-09,1.7555061677219845e-09,1.7522079131738782e-09,1.7406012325922077e-09
37,1.7111782622053394e-09,1.730356512021293e-09,1.738882309515293e-09,1.7122658865520951e-09,1.709391223865984e-09,1.6942264825122622e-09
38,1.6683365730973874e-09,1.6874018861452024e-09,1.6921358286812075e-09,1.6690373424482563e-09,1.6636837129142292e-09,1.6475559117310858e-09
39,1.6252914342505098e-09,1.6371630588103463e-09,1.6463406373591708e-09,1.6256341460334073e-09,1.6179768189979738e-09,1.6036583985705698e-09
40,1.5817088054064098e-09,1.5886709625925443e-09,1.5976318739095987e-09,1.58172065102366e-09,1.5711490870826607e-09,1.5592019034790924e-09
41,1.5370938704903316e-09,1.5350767585693244e-09,1.5469053299410585e-09,1.5367811497778334e-09,1.5169502854310417e-09,1.507454404134333e-09
42,1.4906957859610465e-09,1.4855572919535559e-09,1.4871678578910572e-09,1.490095566207163e-09,1.4641419084759051e-09,1.44958155039453e-09
43,1.4414845584468635e-09,1.4262126577171211e-09,1.4242223922776532e-09,1.4406697778611223e-09,1.4035278719385309e-09,1.3872130514721674e-09
44,1.3882531164214596e-09,1.359202085318719e-09,1.345338526494656e-09,1.387195168532148e-09,1.3390465493933629e-09,1.3015256323976826e-09
45,1.329649232798918e-09,1.2786005946301665e-09,1.249034271271757e-09,1.328102013935359e-09,1.2606039536929822e-09,1.2052502533468737e-09
46,1.2639799186607093e-09,1.1863360246227831e-09,1.1331691312387714e-09,1.261605536348285e-09,1.162159724143309e-09,1.0884322705055427e-09
47,1.189118654880009e-09,1.071537489511392e-09,9.934265667472106e-10,1.1857354503206167e-09,1.0487604835067086e-09,9.44056767053585e-10
48,1.1029264089500164e-09,9.315149533823915e-10,8.128788096609524e-10,1.0985360690637094e-09,9.10021411599293e-10,7.649280184546619e-10
49,1.0040322692266427e-09,7.68508562526633e-10,6.049937835248688e-10,9.98695548455326e-10,7.419246235468474e-10,5.428004423946407e-10
50,8.930696893663572e-10,5.822276781374193e-10,3.732768223087131e-10,8.868748110614143e-10,5.57831758300143e-10,3.2535112852368075e-10
51,7.748779978438671e-10,4.347171544802885e-10,2.7700836463449966e-10,7.679889661208968e-10,4.2247291026974435e-10,2.6728111055050246e-10
52,6.61479506766079e-10,3.9036595688031816e-10,3.03084037400986e-10,6.542085609296183e-10,3.836646853918203e-10,2.9803102515236333e-10
53,5.730270186765189e-10,4.1446897504005953e-10,3.779205940759464e-10,5.661547853117016e-10,4.1123765991106e-10,3.762604306735663e-10
54,5.296305046945739e-10,4.660756715672912e-10,4.6142198808243246e-10,5.243571137805218e-10,4.6353725825437354e-10,4.6082405851766345e-10
55,5.316961909071022e-10,5.107701199852503e-10,5.241255731651313e-10,5.284524140158277e-10,5.017510922240626e-10,5.150457063286785e-10
56,5.545974071071673e-10,5.08312809923378e-10,5.016744404129617e-10,5.532823549384337e-10,4.963145086219297e-10,4.764550743330114e-10
57,5.710876301253746e-10,4.6025289503296885e-10,3.975492630350787e-10,5.716437621649392e-10,4.4310690798928825e-10,3.571769014017961e-10
58,5.688719725195442e-10,4.142363226352501e-10,3.294604689249755e-10,5.707598362452187e-10,4.0605168960043034e-10,3.055885006380337e-10
59,5.514993621501595e-10,4.167969534228756e-10,3.380928285674591e-10,5.52611723985397e-10,4.130493049164026e-10,3.3558430554811954e-10
60,5.305957893470694e-10,4.2017204515917945e-10,3.7606098560368374e-10,5.28334170054677e-10,4.157808980998857e-10,3.710486591394903e-10
61,5.173233079981927e-10,4.2179364901215695e-10,3.9055397103712093e-10,5.105746216156644e-10,4.083460832576607e-10,3.727704415800284e-10
62,5.14411913346028e-10,4.16248558461132e-10,3.799259854141366e-10,5.058120515269818e-10,3.9892754796468657e-10,3.620598145068672e-10
63,5.175912802961899e-10,4.164424110044765e-10,3.630402595762859e-10,5.11085596616566e-10,4.112317602625442e-10,3.6072019595696723e-10
64,5.212746284379325e-10,4.258482487008701e-10,3.6159639854286134e-10,5.190079610133411e-10,4.2116459851874864e-10,3.451732502390273e-10
65,5.230390586408319e-10,4.2365160227968916e-10,3.6313853197776544e-10,5.251062475824432e-10,4.1531179609233193e-10,3.521403194425919e-10
66,5.250095627675229e-10,4.1177574419158214e-10,3.7363591639188184e-10,5.291244811381355e-10,4.10825398355853e-10,3.63538699904821e-10
67,5.308314717433347e-10,4.1482675309710225e-10,3.802493515247458e-10,5.330413796152681e-10,4.2131498837525594e-10,3.639092299683307e-10
68,5.412090888926206e-10,4.333030688738123e-10,3.885700220565061e-10,5.39149996242411e-10,4.349331869678205e-10,3.803169229590043e-10
69,5.552963892081926e-10,4.5854447055498407e-10,4.1570342310968093e-10,5.485328971186213e-10,4.381925854398935e-10,3.7604557029090755e-10
70,5.71776762171677e-10,4.77980442065002e-10,4.2338440729221526e-10,5.612094143743592e-10,4.4449749192017277e-10,3.7799924170368586e-10
71,5.896923852623058e-10,4.951639947638813e-10,4.2873204361729237e-10,5.771239062055076e-10,4.525062768662405e-10,3.904924082166856e-10
72,6.095451256610713e-10,5.027942202993649e-10,4.4429101040877107e-10,5.970854995381403e-10,4.665918469624472e-10,4.079911159540703e-10
73,6.322422469141345e-10,5.170242364577542e-10,4.62915609736488e-10,6.221447609949958e-10,4.94178020274083e-10,4.339322089002801e-10
74,6.589523003139826e-10,5.424895120555848e-10,4.828704384256772e-10,6.52228745029103e-10,5.265676014508308e-10,4.585383091624123e-10
75,6.90885487757244e-10,5.701039314993844e-10,5.118649362597892e-10,6.865898905799319e-10,5.560216655132543e-10,4.969012029474044e-10
76,7.286619159045964e-10,6.051982470200189e-10,5.407759115770332e-10,7.246170422245072e-10,5.960074698658889e-10,5.299894614862566e-10
77,7.725127720932427e-10,6.47729646180342e-10,5.718188483519586e-10,7.661816043476552e-10,6.327340081318213e-10,5.620837227973981e-10
78,8.225375719258985e-10,7.035877153427113e-10,6.315095588855347e-10,8.115137185406926e-10,6.745762174752885e-10,5.995087796457491e-10
79,8.787986281296562e-10,7.734890353526948e-10,7.047068160236199e-10,8.608405721233863e-10,7.140025598549613e-10,6.414214822989052e-10
80,9.41204547981736e-10,8.40271993633264e-10,7.748678619677942e-10,9.141664686912776e-10,7.623546504829127e-10,6.906765911899757e-10
81,1.0095175943246695e-09,9.079600900320476e-10,8.501906676230551e-10,9.714321900627638e-10,8.150169625655592e-10,7.369302441496765e-10
82,1.0832274772413098e-09,9.78984385506431e-10,9.054942326550904e-10,1.032564785189354e-09,8.696286201440074e-10,7.878329224113372e-10
83,1.1616887441069564e-09,1.05774815411969e-09,9.867746230797264e-10,1.097421836425807e-09,9.29651984629108e-10,8.476958444428727e-10
84,1.2443999846580704e-09,1.135377634424469e-09,1.0698835623153217e-09,1.1659833030672533e-09,9.917813432291392e-10,9.058168765325373e-10
85,1.331034676047813e-09,1.2239445545324042e-09,1.1552495929209556e-09,1.2383808439261537e-09,1.0487504375020165e-09,9.660493637846047e-10
128,5.725111008302867e-09,5.3453822608880935e-09,5.1096311307240305e-09,5.338044871342537e-09,4.872842260935212e-09,4.6421041617434555e-09
