step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,2.8914418149271535e-09,2.889812767301522e-09,2.8784465072450573e-09,2.898544574755619e-09,2.935037827916901e-09,2.931336034079601e-09
31,2.8265589047635225e-09,2.8204150212080243e-09,2.8136273979773485e-09,2.8336418985427327e-09,2.8633892981010867e-09,2.8633473225959662e-09
32,2.762135871959035e-09,2.7555553474477447e-09,2.7594830804271632e-09,2.7692131615972103e-09,2.79053952482074e-09,2.799375546169846e-09
33,2.6981715421256753e-09,2.691466896928448e-09,2.692938769008919e-09,2.705271776031647e-09,2.718673493991102e-09,2.7361536831200485e-09
34,2.634644445598785e-09,2.6299154680151816e-09,2.6288774387872423e-09,2.641813699371115e-09,2.6566435504988105e-09,2.6778645311998584e-09
35,2.5715214566552316e-09,2.572907223974073e-09,2.5594846264864255e-09,2.5788051047614954e-09,2.6081097284573928e-09,2.6032394557656846e-09
36,2.5087569245736953e-09,2.5145790647843198e-09,2.498539860909085e-09,2.5161896625869498e-09,2.541945784048062e-09,2.5380767170492977e-09
37,2.4462932160410397e-09,2.447691124069552e-09,2.434410390023236e-09,2.453895274840824e-09,2.469586819580406e-09,2.4652931262653457e-09
38,2.3840563661445582e-09,2.381655017636126e-09,2.3736822407657758e-09,2.391790383051889e-09,2.4090038214589062e-09,2.3994117067182305e-09
39,2.3218806226306835e-09,2.315984251727799e-09,2.306291908350925e-09,2.3296375900331018e-09,2.340721472266458e-09,2.3323249115800116e-09
40,2.259416823774014e-09,2.252793756244188e-09,2.2290333190814916e-09,2.267091096979471e-09,2.277771586302162e-09,2.2616311730645245e-09
41,2.1961544277166178e-09,2.181963600585537e-09,2.1588032217718237e-09,2.2036922332419227e-09,2.207571617754129e-09,2.1863546130741386e-09
42,2.131456766360297e-09,2.1113511639635847e-09,2.0831656074451113e-09,2.1388357246903407e-09,2.129367456801171e-09,2.1098781573791277e-09
43,2.064476423885022e-09,2.029893431300449e-09,1.9984840107934955e-09,2.071691961638036e-09,2.055810086678105e-09,2.0200114512226135e-09
44,1.9940506573730375e-09,1.9400905520034544e-09,1.9037431850374294e-09,2.0010944686094552e-09,1.9654474682041716e-09,1.9247980825864523e-09
45,1.918640122783953e-09,1.8338052450180837e-09,1.7974244106272639e-09,1.9254303724605143e-09,1.8740752927705924e-09,1.8105479011590077e-09
46,1.8362766581302178e-09,1.7277385578594533e-09,1.6729784283141513e-09,1.842586162032608e-09,1.7567109914694139e-09,1.6896923344022464e-09
47,1.7446190365980508e-09,1.6149288462845447e-09,1.5136241066908364e-09,1.7501194965597256e-09,1.6257781388694684e-09,1.5165837300721742e-09
48,1.6411835519736242e-09,1.4605746387658189e-09,1.3253056801126035e-09,1.6457101954112536e-09,1.4654239652403732e-09,1.333563493173193e-09
49,1.523676280890967e-09,1.2701457174043597e-09,1.0991522285299051e-09,1.5275582401257278e-09,1.2698385198520832e-09,1.089091226469346e-09
50,1.3905817519501202e-09,1.065031148959114e-09,8.223645823832461e-10,1.3947777631606581e-09,1.054627240189727e-09,8.232439771228059e-10
51,1.2426168372951614e-09,8.309351913884647e-10,5.595485950904462e-10,1.2486344453314896e-09,8.240675751456133e-10,5.586268322485248e-10
52,1.085177813870782e-09,6.350613704580955e-10,4.2514087870558656e-10,1.0950014122301198e-09,6.47592270422355e-10,4.464643746423576e-10
53,9.315188766098175e-10,5.438982351748948e-10,4.15222883015489e-10,9.473303776499204e-10,5.705780324962969e-10,4.4899675567016614e-10
54,8.051856935621399e-10,5.62488761328827e-10,4.949075150573952e-10,8.280914569085307e-10,5.823706947921082e-10,5.262406834332448e-10
55,7.339733474492499e-10,6.317097291514643e-10,6.378840539700565e-10,7.617725792451653e-10,6.543597430513412e-10,6.534606892545836e-10
56,7.276404039404727e-10,7.040480020890372e-10,7.384986153273687e-10,7.543134218561943e-10,7.126708438966514e-10,7.463690353892172e-10
57,7.623274079085987e-10,7.462062267323647e-10,7.73101986308246e-10,7.823553216147775e-10,7.499091105260699e-10,7.647029311819242e-10
58,8.005274600553165e-10,7.137167516978794e-10,6.898972537982456e-10,8.127426951176988e-10,7.047844912744462e-10,6.589637102475761e-10
59,8.18712393669941e-10,6.19908819795157e-10,5.248788704277004e-10,8.248508970662223e-10,6.258487419696346e-10,4.97387145514279e-10
60,8.134297454223519e-10,5.72221181721344e-10,4.373768190048128e-10,8.158947483795363e-10,5.792663225509333e-10,4.5603559110438653e-10
61,7.938596097921686e-10,5.802882254891719e-10,4.760462240679113e-10,7.959366647616933e-10,5.987334049378069e-10,5.043887352141805e-10
62,7.737113356401101e-10,6.127569641389937e-10,5.464155010348427e-10,7.782534824045287e-10,6.325439953996871e-10,5.650243454753305e-10
63,7.637422995122542e-10,6.45558955178374e-10,6.047975517377329e-10,7.706766628174814e-10,6.47369566228833e-10,6.181212594337038e-10
64,7.669201391378627e-10,6.556042917863201e-10,6.250368776556993e-10,7.729166708836433e-10,6.519391152005031e-10,6.289385302661759e-10
65,7.796778129307607e-10,6.482528747563055e-10,5.886256842517685e-10,7.794287006345157e-10,6.472232466593522e-10,6.020124991468815e-10
66,7.958128990656505e-10,6.526314616753797e-10,5.670770170657783e-10,7.851737144829157e-10,6.310061315203025e-10,5.381320088064742e-10
67,8.108589021587125e-10,6.610078550967499e-10,5.651998897490544e-10,7.906254682224891e-10,6.232158211036036e-10,5.199231190882981e-10
68,8.245669228578463e-10,6.657787100990777e-10,5.838603209703392e-10,7.998332906228114e-10,6.317976468393177e-10,5.486718014110961e-10
69,8.388483232412535e-10,6.613738217379992e-10,5.945411952755107e-10,8.168040614775315e-10,6.474274747674077e-10,5.811931094962894e-10
70,8.560441325334364e-10,6.744956339930245e-10,6.153679561167447e-10,8.432177814533948e-10,6.872815681971147e-10,6.347826358240156e-10
71,8.768449270784622e-10,6.973314252032673e-10,6.43385739358249e-10,8.787790937272306e-10,7.549836292883786e-10,6.989476221992555e-10
72,9.017244674571085e-10,7.190565016171828e-10,6.570061973802806e-10,9.214406276659212e-10,8.081823862670328e-10,7.499970053429646e-10
73,9.315887291997613e-10,7.399415992606869e-10,6.544258566815948e-10,9.683966343765503e-10,8.535182167716873e-10,7.890764804389778e-10
74,9.677243261894545e-10,7.734089181360544e-10,6.630430890280865e-10,1.0175275640474508e-09,8.825446392295395e-10,8.344828894164113e-10
75,1.0114365250021723e-09,8.183552375410957e-10,7.130250748560027e-10,1.0675267519323077e-09,9.250152187912268e-10,8.623153191875776e-10
76,1.0635542456242117e-09,8.749227848876439e-10,7.8734036822975e-10,1.1180179989584394e-09,9.533291946107409e-10,8.868723085317364e-10
77,1.1243418960123704e-09,9.5329237941674e-10,8.84033418543649e-10,1.1699232243708342e-09,9.893546267888322e-10,9.060011960343487e-10
78,1.1936858126403988e-09,1.0483432181428331e-09,9.787433569521601e-10,1.2244072698887067e-09,1.0204438558279163e-09,9.256442531931799e-10
79,1.2713914543772871e-09,1.1391442618316207e-09,1.0729884604013648e-09,1.28219327650148e-09,1.0417289217717208e-09,9.559245773499491e-10
80,1.357083091306318e-09,1.2210000154450103e-09,1.1586220598081894e-09,1.3441170640119828e-09,1.0948173167024073e-09,9.86627755575098e-10
81,1.449953818729792e-09,1.2976028246633365e-09,1.234560393306461e-09,1.411098050279061e-09,1.1408347168684483e-09,1.0313332566169122e-09
82,1.5491250486871606e-09,1.3843044315443522e-09,1.3263857901603083e-09,1.484141326969186e-09,1.207468808982899e-09,1.0998838557044562e-09
