step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,2.0067761708738845e-09,1.9913468077064277e-09,1.9877247909650037e-09,2.0195523230259145e-09,2.0177202534048533e-09,2.0197394938836505e-09
31,1.962114949399107e-09,1.947579095471097e-09,1.944518283721124e-09,1.9747607322173532e-09,1.971725568767782e-09,1.976328189733803e-09
32,1.9177840419094436e-09,1.9053821922412185e-09,1.902987234967077e-09,1.930299070115651e-09,1.9250564557540864e-09,1.9333275264657223e-09
33,1.873776718701593e-09,1.8618793734311668e-09,1.8585182152589087e-09,1.886171395710741e-09,1.881566874641475e-09,1.885636949545897e-09
34,1.8300676957692935e-09,1.8189401185895754e-09,1.8140087374256326e-09,1.8423636587204118e-09,1.8383315234684535e-09,1.8411892993024776e-09
35,1.7866178808711703e-09,1.7718746681766155e-09,1.7720426484564165e-09,1.7988422736098546e-09,1.7953584656454478e-09,1.7991505148517674e-09
36,1.743371163400669e-09,1.7312432574846138e-09,1.7275901770283787e-09,1.755552997725168e-09,1.7524772888405267e-09,1.755525863831923e-09
37,1.7002437470464409e-09,1.6883861194066037e-09,1.6838447744631953e-09,1.7124130908163706e-09,1.7081308120170767e-09,1.7066396738772249e-09
38,1.6571075927338322e-09,1.642613080670159e-09,1.6378993956707703e-09,1.6692852553243245e-09,1.6660772229914328e-09,1.6647958080838237e-09
39,1.6137610762241086e-09,1.6026908584783616e-09,1.5919143437692733e-09,1.625927071404553e-09,1.6211370904972823e-09,1.6158200934204802e-09
40,1.5698843144948942e-09,1.555903615001556e-09,1.5441307599300952e-09,1.5819533338372942e-09,1.5722791620220398e-09,1.567863021529748e-09
41,1.5249911046102068e-09,1.5093139370322948e-09,1.4939073841944122e-09,1.5368370557693696e-09,1.5245092592776068e-09,1.5143383610135745e-09
42,1.478403034140646e-09,1.4554466204470322e-09,1.4363697574946428e-09,1.4898908502708115e-09,1.4709692140203792e-09,1.4558439573905157e-09
43,1.4292202609357163e-09,1.395230299638859e-09,1.3667179089881604e-09,1.4402139762243228e-09,1.4094908079664693e-09,1.390345323860951e-09
44,1.3762481870744035e-09,1.3306477237850334e-09,1.295758559290637e-09,1.3866601204900662e-09,1.3419498285445705e-09,1.3056947249983706e-09
45,1.3179392975248817e-09,1.2514526086572411e-09,1.2018490599057795e-09,1.327793278474964e-09,1.2647719013441378e-09,1.2112181019188509e-09
46,1.252428898557829e-09,1.1551498969117525e-09,1.0785062594657287e-09,1.2618902245106711e-09,1.170579839879483e-09,1.0957913648395557e-09
47,1.1777333599202378e-09,1.0369966571977723e-09,9.35970487460048e-10,1.187068093640255e-09,1.0583734682786912e-09,9.564281014725173e-10
48,1.0921100301448788e-09,8.995837488591561e-10,7.463457107451421e-10,1.101480754433079e-09,9.208320245182486e-10,7.627297135722397e-10
49,9.94542475350881e-10,7.350269043806201e-10,5.299941856838032e-10,1.0038088481665086e-09,7.565766058200238e-10,5.582836374021777e-10
50,8.857791039785791e-10,5.538042008454854e-10,3.403804995884486e-10,8.944888411719618e-10,5.735544403894674e-10,3.588518320864764e-10
51,7.704535174934792e-10,4.1853003819938577e-10,2.6682851272247694e-10,7.779316549019118e-10,4.322297203622337e-10,2.7576912459498456e-10
52,6.598374537596508e-10,3.819006386792453e-10,2.9620570880384076e-10,6.655477568974612e-10,3.83924693431297e-10,2.965351265979146e-10
53,5.7267311095031e-10,4.11296125000123e-10,3.7333145620477787e-10,5.768983059349957e-10,4.083351417298423e-10,3.7077523217854153e-10
54,5.276545102546342e-10,4.643443108556821e-10,4.5871736320895916e-10,5.319526443406075e-10,4.5590031284598147e-10,4.498666380954151e-10
55,5.25697267439099e-10,5.015248517011028e-10,5.133050812279276e-10,5.318101669948013e-10,4.957464420724727e-10,5.063572895637309e-10
56,5.446788876729933e-10,4.890963362413144e-10,4.692963906834008e-10,5.529711547646286e-10,4.960042934428178e-10,4.837553916510747e-10
57,5.595018572426172e-10,4.2955957542871704e-10,3.4471623619027713e-10,5.687198526986618e-10,4.436389608053244e-10,3.749550589954957e-10
58,5.582805761658429e-10,3.933658554229029e-10,3.1260460063679554e-10,5.662107190156134e-10,4.05354329743533e-10,3.2230351446977744e-10
59,5.424224250917644e-10,4.0233218717597657e-10,3.28780788196777e-10,5.476360594538068e-10,4.051959527992182e-10,3.268616776704383e-10
60,5.208868094585374e-10,4.1086174355652034e-10,3.6091418080339e-10,5.246143132982524e-10,4.150569199276805e-10,3.6331858106536114e-10
61,5.046443761095737e-10,3.9974637670473557e-10,3.723850892974431e-10,5.090084861328883e-10,4.041128040513351e-10,3.752147208829197e-10
62,5.005060523353976e-10,3.912538526376519e-10,3.6229296942244956e-10,5.05885288146291e-10,3.9249184795281197e-10,3.5800139978189717e-10
63,5.067599414133857e-10,4.061140738595751e-10,3.52857691528725e-10,5.116146569071444e-10,4.0310312118021905e-10,3.550584922227702e-10
64,5.149923634207547e-10,4.135489293370063e-10,3.416856546786622e-10,5.186183599393156e-10,4.1578320104699447e-10,3.4082321464215553e-10
65,5.193258241363196e-10,4.032289299972819e-10,3.440013861439686e-10,5.22685503072722e-10,4.078038967964926e-10,3.4690568953173246e-10
66,5.203357921943147e-10,3.9715501231587974e-10,3.4485712379044403e-10,5.247542960233777e-10,3.994448733357536e-10,3.5297178180457277e-10
67,5.215216441992121e-10,4.0454824599758644e-10,3.6465375592083814e-10,5.275132269844594e-10,4.0541841950320347e-10,3.5868686683199984e-10
