step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,6.358112084494688e-09,6.50868147108254e-09,6.88657447110487e-09,6.253096316156912e-09,6.034488722910764e-09,6.245829919478572e-09
31,6.217887729170756e-09,6.313892281016141e-09,6.872906499244628e-09,6.110785004321024e-09,5.89571294335242e-09,6.42588600596247e-09
32,6.078753212705638e-09,6.184805300203765e-09,6.680204669135363e-09,5.969562166732742e-09,5.788674764866743e-09,6.114090673562551e-09
33,5.940754751033686e-09,6.045954002167451e-09,6.687839392391113e-09,5.829495469112689e-09,5.702697881095335e-09,6.054625905827015e-09
34,5.803923843529606e-09,5.919703032687495e-09,6.513818492881141e-09,5.69061094072046e-09,5.5715605140945214e-09,5.789087131164366e-09
35,5.668326074823634e-09,5.883325567453248e-09,6.581512080535765e-09,5.552876196441746e-09,5.442281664102387e-09,5.755851102204715e-09
36,5.534032569791408e-09,5.7322401173488205e-09,6.394845442136545e-09,5.416284545098187e-09,5.2937056285628375e-09,5.556688333092212e-09
37,5.4009584822061984e-09,5.511062187151655e-09,6.082705354203292e-09,5.2809080356538194e-09,5.13554598078712e-09,5.46169390858611e-09
38,5.268851097683233e-09,5.383653715245065e-09,6.248530301793305e-09,5.146769045920402e-09,4.958071208283359e-09,5.462144868726992e-09
39,5.1375494837100945e-09,5.292851667498398e-09,6.136948583544404e-09,5.013724377608522e-09,4.851006747455864e-09,5.323400018087276e-09
40,5.007117405819538e-09,5.164115470927725e-09,5.489334392261789e-09,4.881530690428677e-09,4.786825583843976e-09,5.205524057502047e-09
41,4.877757026617809e-09,5.0787044407882094e-09,5.454178796067809e-09,4.749764380195489e-09,4.711628529727103e-09,5.019386080839162e-09
42,4.749514463599938e-09,4.938738870039999e-09,5.291239176413734e-09,4.617689717540889e-09,4.613590996066977e-09,4.82629526727211e-09
43,4.621890029153709e-09,4.7965131389768036e-09,5.038311454158886e-09,4.484431523902692e-09,4.551992413220864e-09,4.735064510862316e-09
44,4.493502770488395e-09,4.624628806035767e-09,4.8812551546957284e-09,4.349060788777992e-09,4.456563216966426e-09,4.675803265468741e-09
45,4.3622408928690094e-09,4.409910521678983e-09,4.649386891763893e-09,4.2105941209092855e-09,4.307960519296333e-09,4.501315846854162e-09
46,4.225569848156916e-09,4.256786578151957e-09,4.442472518066099e-09,4.067629435480916e-09,4.195283956185773e-09,4.178194356327983e-09
47,4.0806499954098776e-09,4.0645604966398054e-09,4.2298493692196735e-09,3.917659428558001e-09,3.948144072027828e-09,3.94563396524272e-09
48,3.924309906093237e-09,3.822651828355891e-09,3.9181862456710815e-09,3.7573933128584596e-09,3.7206009465720267e-09,3.774117329462094e-09
49,3.753065634205271e-09,3.6131715573425038e-09,3.6713913096038855e-09,3.583225327429487e-09,3.497233905910358e-09,3.447632740587385e-09
50,3.563708285807313e-09,3.336272306681761e-09,3.2653595045692727e-09,3.390802422829947e-09,3.2099902226815985e-09,3.222593163168824e-09
51,3.3537499239406123e-09,3.065071657144848e-09,2.911813128564903e-09,3.1756459333291937e-09,2.8963927263376083e-09,2.603616443988983e-09
52,3.1217595432189223e-09,2.708330768642201e-09,2.3556212310886467e-09,2.9359241375970512e-09,2.5366809971071412e-09,2.4890679257840387e-09
53,2.867815165620352e-09,2.299363497869607e-09,2.020504012385469e-09,2.6738241221734898e-09,2.139883110432837e-09,1.9155762307660074e-09
54,2.596035020909556e-09,1.863239847866923e-09,1.6029991650574386e-09,2.3951688086265807e-09,1.8387022178126003e-09,1.5279353532554104e-09
55,2.317378688788595e-09,1.5069771685460391e-09,1.327491396719898e-09,2.110450702294781e-09,1.5171811971503313e-09,1.2902431369835585e-09
56,2.052269636439089e-09,1.2585047475412944e-09,1.0544276033801097e-09,1.8398044286087818e-09,1.3082686357292754e-09,1.1376433503733397e-09
57,1.8318043749538917e-09,1.2491191446442926e-09,1.1258873185534236e-09,1.6174748857560565e-09,1.2033733442598657e-09,1.095464083931146e-09
58,1.6906570835431238e-09,1.3118562687644047e-09,1.2928940465253982e-09,1.48886042072178e-09,1.1942988685783516e-09,1.1830648386372808e-09
59,1.6500324981988588e-09,1.4637935310882251e-09,1.4710992022874164e-09,1.4832856978638965e-09,1.4441285895289111e-09,1.4674994102277855e-09
60,1.6994218207070973e-09,1.6870646201854734e-09,1.749233419469682e-09,1.581716163760932e-09,1.625199383755378e-09,1.7918773005778584e-09
61,1.7998883160125552e-09,1.7767200820270294e-09,1.8617113032065472e-09,1.7289973745279164e-09,1.851314319401394e-09,1.9616842325045062e-09
62,1.9105682617405365e-09,1.87783948811242e-09,1.942131966633282e-09,1.8767808260501443e-09,1.9332676659452872e-09,2.01876804314958e-09
63,2.0035234823375267e-09,1.882910351542701e-09,1.910625615143193e-09,1.9990473838153184e-09,1.9389359098893502e-09,1.99877004343285e-09
64,2.0658047703313644e-09,1.9297043835161294e-09,1.8919613476408997e-09,2.0832674191179e-09,1.972451322861233e-09,1.987811846037627e-09
65,2.09645904442749e-09,1.9214136211148983e-09,1.8570213875994992e-09,2.124959412625422e-09,1.8896125828883054e-09,1.931389021868367e-09
66,2.1012609186728617e-09,1.7381581235494171e-09,1.6711166135251645e-09,2.1261231540259913e-09,1.893652763805681e-09,1.8268744441533413e-09
67,2.0887826983820686e-09,1.7324199067414077e-09,1.6198868821775048e-09,2.0950498492999956e-09,1.8422446546080731e-09,1.7173365899602824e-09
68,2.0697816000896175e-09,1.7216693614689468e-09,1.5769238981560008e-09,2.0456612752160754e-09,1.686847141738044e-09,1.6648872336721677e-09
69,2.055027144219546e-09,1.7379913522095743e-09,1.6669782239078846e-09,1.9938532251972237e-09,1.5985157314456782e-09,1.5819129193931654e-09
70,2.054108385983218e-09,1.718101881345508e-09,1.6187115392626542e-09,1.9552942204564705e-09,1.601350536479033e-09,1.5330938159576457e-09
71,2.0753177643469356e-09,1.6851600301411852e-09,1.5475849347850452e-09,1.9426586286307575e-09,1.5992342985864052e-09,1.4680936352740197e-09
72,2.121868701609928e-09,1.7115087980692633e-09,1.6864296342921955e-09,1.9635581189307492e-09,1.53426047727534e-09,1.5139856796721925e-09
73,2.1929637323558643e-09,1.7887878774338813e-09,1.83693496493498e-09,2.0197197579833456e-09,1.6956239678701544e-09,1.5846164933939298e-09
74,2.2878422662249075e-09,1.9730286495096913e-09,1.902496785106107e-09,2.1077146448814227e-09,1.8001778307784189e-09,1.6891917219883549e-09
75,2.4051952059285975e-09,2.1445761241849327e-09,2.1087774922996816e-09,2.2221865179747037e-09,2.0523429999143852e-09,1.8700224920994558e-09
76,2.541817846924337e-09,2.2472087178015022e-09,2.2974832833925054e-09,2.357898466008211e-09,2.2099672043915713e-09,2.2585736537904872e-09
77,2.694194006926503e-09,2.3988890443715172e-09,2.4337808143218085e-09,2.5099246553479404e-09,2.347815897885309e-09,2.2956382848977446e-09
78,2.8585514771922717e-09,2.562719236953091e-09,2.5751465730908017e-09,2.673950681835104e-09,2.5496255881900565e-09,2.6519080819585266e-09
79,3.030972561969617e-09,2.682070800171451e-09,2.7971279277489813e-09,2.8471613750512723e-09,2.8054587170556585e-09,2.7018265499876974e-09
80,3.2093843005554734e-09,2.916881978271917e-09,2.9356977401704773e-09,3.028935108711602e-09,3.029406479272657e-09,2.938575258016298e-09
81,3.393161459516967e-09,3.039231210424715e-09,3.1950169645593018e-09,3.2196197557888746e-09,3.202017974421569e-09,3.1673618975203233e-09
82,3.5821361293716704e-09,3.2475807120168422e-09,3.297972712089271e-09,3.418296955934092e-09,3.4506272955481405e-09,3.4123841915330796e-09
83,3.776109267789029e-09,3.429579950972961e-09,3.4739730604487407e-09,3.623568310904593e-09,3.5880489364245363e-09,3.6764822457469893e-09
84,3.9751626717378215e-09,3.7240141402175213e-09,3.607246337843357e-09,3.834564666152008e-09,3.806086903436489e-09,3.9485858080790125e-09
85,4.179734583583093e-09,3.884260118513834e-09,3.814059739522652e-09,4.05119103943226e-09,4.0340714671029215e-09,4.158423931865838e-09
128,1.5136552861464127e-08,1.3457724107285743e-08,1.2420909723792689e-08,1.5085516102253885e-08,1.4490070867965656e-08,1.5115419470794357e-08
