step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,4.054881916138386e-09,4.002002214324339e-09,4.003131821098671e-09,3.9832073564693026e-09,3.948454560801996e-09,3.922420170156316e-09
31,3.965816441932351e-09,3.903799655293955e-09,3.9185660702079306e-09,3.894889467909823e-09,3.859424119923949e-09,3.878531433575834e-09
32,3.877391239940851e-09,3.826001418907401e-09,3.837672183656672e-09,3.807259812687314e-09,3.7623444600163555e-09,3.754686694667348e-09
33,3.789572623334751e-09,3.7236968053902493e-09,3.733319777139032e-09,3.7203508041344924e-09,3.674359674661708e-09,3.6572916713091197e-09
34,3.7023487166995992e-09,3.633748004172898e-09,3.6375091008541164e-09,3.634167777244169e-09,3.593842229209208e-09,3.5641187232996855e-09
35,3.6157707079083786e-09,3.5522758682722166e-09,3.5596672644836396e-09,3.5486948472691016e-09,3.5056353558522045e-09,3.478175054676161e-09
36,3.5298937747273597e-09,3.4599238923499684e-09,3.465675852307606e-09,3.46389439321841e-09,3.4088936913420793e-09,3.382944541966431e-09
37,3.4446868207431626e-09,3.3736015384360077e-09,3.3623345961533315e-09,3.379663112382181e-09,3.3171914966365855e-09,3.32701255001101e-09
38,3.3600174799274274e-09,3.3023371330063274e-09,3.290265172549227e-09,3.295836943546365e-09,3.267824500765307e-09,3.212833410751693e-09
39,3.2757137330432694e-09,3.2366344533775174e-09,3.208345373828493e-09,3.2122361364811532e-09,3.1858189122730985e-09,3.1305113687659854e-09
40,3.1915678860469906e-09,3.1351421097479776e-09,3.108901816364859e-09,3.1285918553170872e-09,3.0883815777183555e-09,3.054759631258656e-09
41,3.107214534431233e-09,3.0564307277071332e-09,3.010503895593639e-09,3.0444510507649507e-09,3.0057249382470247e-09,2.956339127313037e-09
42,3.0220324910030515e-09,2.963763746366081e-09,2.9197263175066993e-09,2.9591528458730683e-09,2.9097460962931495e-09,2.850461339333296e-09
43,2.935162522061495e-09,2.8555386131576744e-09,2.810870030413574e-09,2.8717893610792115e-09,2.7922260067058407e-09,2.7439218832056614e-09
44,2.8454872940750552e-09,2.740007476716368e-09,2.6902211352237627e-09,2.7812508113272657e-09,2.690799035139942e-09,2.6345071956634334e-09
45,2.7514800780925563e-09,2.635963440561685e-09,2.557437675033026e-09,2.6862706452754838e-09,2.575654630008531e-09,2.523564675118229e-09
46,2.6512090301247442e-09,2.4980575237519408e-09,2.432726622029277e-09,2.5851574092899933e-09,2.4521108973813778e-09,2.383055441557539e-09
47,2.542526616172459e-09,2.373629204022621e-09,2.270045556769962e-09,2.475605008889936e-09,2.278890229722394e-09,2.1810673603488117e-09
48,2.4229852920398295e-09,2.206683188008292e-09,2.069493121783193e-09,2.3548976546799644e-09,2.121379791747147e-09,1.995152118355737e-09
49,2.289648250011608e-09,2.030202474212935e-09,1.8702287580810182e-09,2.220251339654454e-09,1.949607546819361e-09,1.7857748014061862e-09
50,2.1393842817896145e-09,1.8098717978846554e-09,1.5765645084650076e-09,2.0691111151701426e-09,1.7349524860495455e-09,1.524788624539893e-09
51,1.9696810423147783e-09,1.5654171492460094e-09,1.2777189014334456e-09,1.8997786433063716e-09,1.4795511801314779e-09,1.2300343010384654e-09
