step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,4.912779368996262e-09,5.074477206457479e-09,5.328158120574195e-09,5.058545514759433e-09,4.83929928891561e-09,4.769395623377321e-09
31,4.804375629216669e-09,4.965648411347706e-09,5.194328482993265e-09,4.9438857509998615e-09,4.739790412198233e-09,4.6960488172331725e-09
32,4.6967973269222546e-09,4.859431649117825e-09,5.111094358302791e-09,4.830007343339249e-09,4.630301287134277e-09,4.590738215075212e-09
33,4.590095513813573e-09,4.717189470481978e-09,4.983649151507689e-09,4.716938474611124e-09,4.4776070028508996e-09,4.522942948981708e-09
34,4.484300319391263e-09,4.608232760059889e-09,4.861089061653321e-09,4.60469352621527e-09,4.350806008439678e-09,4.3829554373805956e-09
35,4.379403758509383e-09,4.4816920969989105e-09,4.742530746823677e-09,4.4932377108768566e-09,4.262093877096483e-09,4.248621404480355e-09
36,4.2753754064252536e-09,4.389609867641785e-09,4.64123644272178e-09,4.382492531323982e-09,4.165043393234368e-09,4.175698398447418e-09
37,4.172184508650358e-09,4.285538484423509e-09,4.532631103174642e-09,4.272395535591593e-09,4.040464293810986e-09,3.988974781109453e-09
38,4.0697985743276115e-09,4.226476248048623e-09,4.405709724504709e-09,4.162926351879319e-09,3.962779011651678e-09,3.959649681051246e-09
39,3.9681144177239754e-09,4.118864688494382e-09,4.2905275396314045e-09,4.053974075546643e-09,3.839097017911823e-09,3.786638905785713e-09
40,3.8667995061387395e-09,3.99978497084427e-09,4.189344030390158e-09,3.945205254709822e-09,3.730479788972142e-09,3.707521486032261e-09
41,3.7652333019261124e-09,3.913126814381716e-09,4.122147176851882e-09,3.836184425781528e-09,3.6254646930969663e-09,3.5569302444058397e-09
42,3.662652042267491e-09,3.772297914395231e-09,3.876578172982076e-09,3.7264564375850584e-09,3.512307610829469e-09,3.469787845980783e-09
43,3.558161636473329e-09,3.654443827253808e-09,3.807963477229664e-09,3.6153009404122174e-09,3.3623980086547904e-09,3.340669154129469e-09
44,3.4507014114048335e-09,3.52419106247917e-09,3.5778027914375924e-09,3.5015156869255774e-09,3.2289461186252608e-09,3.214744330930066e-09
45,3.3390446567906287e-09,3.382610428896054e-09,3.4407490269346727e-09,3.3834143983028555e-09,3.1273199409378202e-09,3.079181459007503e-09
46,3.221588736734412e-09,3.213867462041546e-09,3.2529312722798726e-09,3.2588758957736557e-09,2.9998680089904603e-09,2.9187965446867427e-09
