code,eps_y_nm,D_y,R_pinch,n_y_req,sigma_log,c_y,kappa,sigma_kappa
GP++,1.0,97.3640511378073,4.9680023061905585,132.6649315235538,0.3221358464638219,20.0,0.2098615764809956,0.06760393657993762
GP++,2.0,68.75216923874842,4.635573001951269,133.54817959007718,0.5340815949352148,20.0,0.24836017282477527,0.13264459722064156
GP++,4.0,48.52082680874171,4.307961702862509,115.86178030036861,0.6715627485214747,20.0,0.25337615840050265,0.17015798934525408
GP++,8.0,34.21554775844742,3.9854241560680728,113.62270956706043,0.07158543388423695,20.0,0.2923030688625879,0.020924642010222348
GP++,12.0,27.87835762322576,3.799185723616473,90.85986852707465,0.5157301701611995,20.0,0.25710174392822127,0.1325951261448427
GP++,16.0,24.100805421447365,3.6681696458139363,93.4038302592669,0.029816890076555223,20.0,0.28281482525584245,0.008432658556673628
GP++,20.0,21.522988796342663,3.5671955820766996,90.12731130028973,0.14243858187735733,20.0,0.28763310874677817,0.04097005211086679
