code,family,eps_y_nm,D_y,R_pinch,value,sigma_log,c_y,kappa,sigma_kappa
GP++,n_y,1.0,97.3640511378073,4.9680023061905585,132.6649315235538,0.3221358464638219,20.0,0.2098615764809956,0.06760393657993762
GP++,n_y,2.0,68.75216923874842,4.635573001951269,133.54817959007718,0.5340815949352148,20.0,0.24836017282477527,0.13264459722064156
GP++,n_y,4.0,48.52082680874171,4.307961702862509,115.86178030036861,0.6715627485214747,20.0,0.25337615840050265,0.17015798934525408
GP++,n_y,8.0,34.21554775844742,3.9854241560680728,113.62270956706043,0.07158543388423695,20.0,0.2923030688625879,0.020924642010222348
GP++,n_y,12.0,27.87835762322576,3.799185723616473,90.85986852707465,0.5157301701611995,20.0,0.25710174392822127,0.1325951261448427
GP++,n_y,16.0,24.100805421447365,3.6681696458139363,93.4038302592669,0.029816890076555223,20.0,0.28281482525584245,0.008432658556673628
GP++,n_y,20.0,21.522988796342663,3.5671955820766996,90.12731130028973,0.14243858187735733,20.0,0.28763310874677817,0.04097005211086679
GP++,n_m,0.5,137.83,5.305060014746594,0.3730084003092865,0.6272,20.0,,
GP++,n_m,1.0,97.36,4.967964081908017,0.13553355504294262,0.3931,20.0,,
GP++,n_m,2.0,68.75,4.635542763413965,0.1418950322807455,0.3655,20.0,,
GP++,n_m,4.0,48.52,4.3079461600158115,0.028703035315097762,0.7049,20.0,,
GP++,n_m,8.0,34.22,3.98554320993084,0.009583743191153665,0.1792,20.0,,
GP++,n_m,12.0,27.88,3.7992394182932188,0.0037178734486449897,0.3512,20.0,,
GP++,n_m,20.0,21.52,3.567073117358024,0.0013200480902667653,0.3657,20.0,,
